Card_Name,Rarity,RH?,Number,Market Price,Listed Median,Adjusted Price,Slot 1 (Common),Slot 2 (Common),Slot 3 (Common),Slot 4 (Common),Slot 5 (Common),Slot 6 (Uncommon),Slot 7 (Uncommon),Slot 8 (Uncommon),Slot 9 (Radiant/TG/RH),Slot 10 (Rare+),Slot 11 (Code)
Golduck,Uncommon,No,029/189,$0.03 ,$0.08 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Starmie V,Normal Pokemon V,No,030/189,$0.75 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Swinub,Common,No,031/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Piloswine,Uncommon,No,032/189,$0.02 ,$0.05 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Mamoswine,Rare,No,033/189,$0.08 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Mantine,Common,No,034/189,$0.02 ,$0.06 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Barboach,Common,No,035/189,$0.04 ,$0.06 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Whiscash,Uncommon,No,036/189,$0.04 ,$0.09 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Regice,Rare,No,037/189,$0.12 ,$0.19 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Glaceon,Rare,No,038/189,$0.15 ,$0.20 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Origin Forme Palkia V,Normal Pokemon V,No,039/189,$1.02 ,—,$1.12 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Origin Forme Palkia VSTAR,Pokemon VMAX or VSTAR,No,040/189,$2.06 ,—,$2.27 ,0,0,0,0,0,0,0,0,0,0.003855556,0
Oshawott,Common,No,041/189,$0.04 ,$0.08 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Dewott,Uncommon,No,042/189,$0.02 ,$0.09 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Hisuian Basculin,Common,No,043/189,$0.03 ,$0.08 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Hisuian Basculegion,Rare,No,044/189,$0.07 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Keldeo,Rare,No,045/189,$0.16 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Radiant Greninja,Radiant Rare,No,046/189,$3.60 ,—,$3.96 ,0,0,0,0,0,0,0,0,0.016266667,0,0
Bergmite,Common,No,047/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Hisuian Avalugg,Rare,No,048/189,$0.06 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Galarian Mr. Rime V,Normal Pokemon V,No,049/189,$0.52 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Luxray V,Normal Pokemon V,No,050/189,$0.97 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Regieleki,Rare,No,051/189,$0.10 ,$0.16 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Hisuian Typhlosion,Rare,No,052/189,$0.29 ,—,$0.50 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Hisuian Typhlosion V,Normal Pokemon V,No,053/189,$0.79 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Hisuian Typhlosion VSTAR,Pokemon VMAX or VSTAR,No,054/189,$1.38 ,—,$1.52 ,0,0,0,0,0,0,0,0,0,0.003855556,0
Togepi,Common,No,055/189,$0.05 ,$0.06 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Togetic,Uncommon,No,056/189,$0.05 ,$0.08 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Togekiss,Rare,No,057/189,$0.24 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Misdreavus,Common,No,058/189,$0.03 ,$0.07 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Mismagius,Rare,No,059/189,$0.06 ,$0.11 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Ralts,Common,No,060/189,$0.19 ,$0.25 ,$0.25 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Kirlia,Uncommon,No,061/189,$0.03 ,$0.07 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Gallade,Rare,No,062/189,$0.56 ,—,$0.75 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Drifloon,Common,No,063/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Drifblim,Uncommon,No,064/189,$0.04 ,$0.08 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Uxie,Uncommon,No,065/189,$0.04 ,$0.08 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Mesprit,Rare,No,066/189,$0.17 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Azelf,Uncommon,No,067/189,$0.02 ,$0.09 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Diancie,Rare,No,068/189,$0.31 ,—,$0.50 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Wyrdeer,Rare,No,069/189,$0.22 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Hisuian Growlithe,Common,No,070/189,$0.04 ,$0.06 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Hisuian Arcanine,Rare,No,071/189,$0.12 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Machamp V,Normal Pokemon V,No,072/189,$0.95 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Machamp VMAX,Pokemon VMAX or VSTAR,No,073/189,$2.51 ,—,$2.76 ,0,0,0,0,0,0,0,0,0,0.003855556,0
Sudowoodo,Common,No,074/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Regirock,Rare,No,075/189,$0.12 ,$0.19 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Cranidos,Uncommon,No,076/189,$0.04 ,$0.05 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Rampardos,Rare,No,077/189,$0.27 ,—,$0.50 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Lucario V,Normal Pokemon V,No,078/189,$0.84 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Hippopotas,Common,No,079/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Hippowdon,Uncommon,No,080/189,$0.02 ,$0.05 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Radiant Hawlucha,Radiant Rare,No,081/189,$0.50 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.016266667,0,0
Hisuian Decidueye,Rare,No,082/189,$0.18 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Hisuian Decidueye V,Normal Pokemon V,No,083/189,$0.76 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Hisuian Decidueye VSTAR,Pokemon VMAX or VSTAR,No,084/189,$0.95 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.003855556,0
Kleavor (85),Rare,No,085/189,$0.08 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Kleavor (86),Rare,No,086/189,$0.20 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Kleavor V,Normal Pokemon V,No,087/189,$0.49 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Hisuian Qwilfish (88),Common,No,088/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Hisuian Qwilfish (89),Common,No,089/189,$0.05 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Hisuian Overqwil (90),Uncommon,No,090/189,$0.05 ,$0.08 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Hisuian Overqwil (91),Rare,No,091/189,$0.07 ,$0.14 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Hisuian Sneasel,Common,No,092/189,$0.05 ,$0.08 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Hisuian Sneasler,Rare,No,093/189,$0.22 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Hisuian Sneasler V,Normal Pokemon V,No,094/189,$0.59 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Poochyena,Common,No,095/189,$0.03 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Mightyena,Rare,No,096/189,$0.10 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Absol,Rare,No,097/189,$0.24 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Darkrai V,Normal Pokemon V,No,098/189,$1.24 ,—,$1.36 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Darkrai VSTAR,Pokemon VMAX or VSTAR,No,099/189,$1.82 ,—,$2.00 ,0,0,0,0,0,0,0,0,0,0.003855556,0
Hisuian Samurott,Rare,No,100/189,$0.21 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Hisuian Samurott V,Normal Pokemon V,No,101/189,$0.77 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Hisuian Samurott VSTAR,Pokemon VMAX or VSTAR,No,102/189,$1.21 ,—,$1.33 ,0,0,0,0,0,0,0,0,0,0.003855556,0
Nickit,Common,No,103/189,$0.04 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Thievul,Rare,No,104/189,$0.09 ,$0.13 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Magnemite,Common,No,105/189,$0.05 ,$0.08 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Magneton,Uncommon,No,106/189,$0.05 ,$0.10 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Magnezone,Rare,No,107/189,$0.32 ,—,$0.50 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Registeel,Rare,No,108/189,$0.09 ,$0.16 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Shieldon,Uncommon,No,109/189,$0.05 ,$0.06 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Bastiodon,Rare,No,110/189,$0.17 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Bronzor,Common,No,111/189,$0.01 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Bronzong,Uncommon,No,112/189,$0.03 ,$0.07 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Origin Forme Dialga V,Normal Pokemon V,No,113/189,$1.14 ,—,$1.25 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Origin Forme Dialga VSTAR,Pokemon VMAX or VSTAR,No,114/189,$2.46 ,—,$2.71 ,0,0,0,0,0,0,0,0,0,0.003855556,0
Pawniard,Common,No,115/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Bisharp,Uncommon,No,116/189,$0.02 ,$0.07 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Garchomp V,Normal Pokemon V,No,117/189,$0.85 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Regidrago,Rare,No,118/189,$0.10 ,$0.20 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Eevee,Common,No,119/189,$0.08 ,$0.10 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Hoothoot,Common,No,120/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Noctowl,Uncommon,No,121/189,$0.07 ,$0.10 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Teddiursa,Common,No,122/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Ursaring,Uncommon,No,123/189,$0.04 ,$0.06 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Ursaluna,Rare,No,124/189,$0.09 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Stantler,Common,No,125/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Miltank,Rare,No,126/189,$0.26 ,—,$0.50 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Glameow,Common,No,127/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Purugly,Uncommon,No,128/189,$0.06 ,$0.08 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Chatot,Common,No,129/189,$0.03 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Regigigas,Rare,No,130/189,$0.30 ,—,$0.50 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Rufflet,Common,No,131/189,$0.03 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Hisuian Braviary,Rare,No,132/189,$0.08 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Oranguru V,Normal Pokemon V,No,133/189,$0.54 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Wyrdeer V,Normal Pokemon V,No,134/189,$0.71 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Adaman,Rare,No,135/189,$0.25 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Canceling Cologne,Uncommon,No,136/189,$0.10 ,$0.15 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Choy,Uncommon,No,137/189,$0.02 ,$0.09 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Cyllene,Uncommon,No,138/189,$0.07 ,$0.13 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Dark Patch,Uncommon,No,139/189,$0.08 ,$0.15 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Energy Loto,Uncommon,No,140/189,$0.07 ,$0.13 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Feather Ball,Uncommon,No,141/189,$0.09 ,$0.15 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Gapejaw Bog,Uncommon,No,142/189,$0.10 ,$0.15 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Gardenia's Vigor,Uncommon,No,143/189,$0.07 ,$0.15 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Grant,Uncommon,No,144/189,$0.06 ,$0.10 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Gutsy Pickaxe,Uncommon,No,145/189,$0.08 ,$0.15 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Hisuian Heavy Ball,Uncommon,No,146/189,$0.14 ,$0.25 ,$0.25 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Irida,Rare,No,147/189,$1.53 ,—,$1.68 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Jubilife Village,Uncommon,No,148/189,$0.05 ,$0.10 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Kamado,Uncommon,No,149/189,$0.02 ,$0.10 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Roxanne,Uncommon,No,150/189,$0.08 ,$0.20 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Spicy Seasoned Curry,Uncommon,No,151/189,$0.02 ,$0.08 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Supereffective Glasses,Uncommon,No,152/189,$0.07 ,$0.10 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Sweet Honey,Uncommon,No,153/189,$0.05 ,$0.10 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Switch Cart,Uncommon,No,154/189,$0.93 ,$1.00 ,$1.00 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Temple of Sinnoh,Uncommon,No,155/189,$0.18 ,$0.25 ,$0.25 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Trekking Shoes,Uncommon,No,156/189,$0.08 ,$0.20 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Unidentified Fossil,Uncommon,No,157/189,$0.06 ,$0.10 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Wait and See Turbo,Uncommon,No,158/189,$0.02 ,$0.10 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Zisu,Uncommon,No,159/189,$0.03 ,$0.10 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Beedrill V (Full Art),Full-Art Pokemon V,No,160/189,$2.14 ,—,$2.35 ,0,0,0,0,0,0,0,0,0,0.00142,0
Beedrill V (Alternate Full Art),Alt-Art Pokemon V,No,161/189,$19.53 ,—,$21.48 ,0,0,0,0,0,0,0,0,0,0.001233333,0
Hisuian Lilligant V (Full Art),Full-Art Pokemon V,No,162/189,$1.44 ,—,$1.58 ,0,0,0,0,0,0,0,0,0,0.00142,0
Hisuian Lilligant V (Alternate Full Art),Alt-Art Pokemon V,No,163/189,$12.15 ,—,$13.37 ,0,0,0,0,0,0,0,0,0,0.001233333,0
Virizion V (Full Art),Full-Art Pokemon V,No,164/189,$1.52 ,—,$1.67 ,0,0,0,0,0,0,0,0,0,0.00142,0
Heatran V (Full Art),Full-Art Pokemon V,No,165/189,$1.30 ,—,$1.43 ,0,0,0,0,0,0,0,0,0,0.00142,0
Starmie V (Full Art),Full-Art Pokemon V,No,166/189,$1.97 ,—,$2.17 ,0,0,0,0,0,0,0,0,0,0.00142,0
Origin Forme Palkia V (Alternate Full Art),Alt-Art Pokemon V,No,167/189,$28.86 ,—,$31.75 ,0,0,0,0,0,0,0,0,0,0.001233333,0
Luxray V (Full Art),Full-Art Pokemon V,No,168/189,$2.28 ,—,$2.51 ,0,0,0,0,0,0,0,0,0,0.00142,0
Hisuian Typhlosion V (Full Art),Full-Art Pokemon V,No,169/189,$2.91 ,—,$3.20 ,0,0,0,0,0,0,0,0,0,0.00142,0
Jirachi V (Full Art),Full-Art Pokemon V,No,170/189,$4.16 ,—,$4.58 ,0,0,0,0,0,0,0,0,0,0.00142,0
Machamp V (Full Art),Full-Art Pokemon V,No,171/189,$7.26 ,—,$7.99 ,0,0,0,0,0,0,0,0,0,0.00142,0
Machamp V (Alternate Full Art),Alt-Art Pokemon V,No,172/189,$90.79 ,—,$99.87 ,0,0,0,0,0,0,0,0,0,0.001233333,0
Hisuian Decidueye V (Full Art),Full-Art Pokemon V,No,173/189,$1.43 ,—,$1.57 ,0,0,0,0,0,0,0,0,0,0.00142,0
Hisuian Sneasler V (Full Art),Full-Art Pokemon V,No,174/189,$4.03 ,—,$4.43 ,0,0,0,0,0,0,0,0,0,0.00142,0
Hisuian Sneasler V (Alternate Full Art),Alt-Art Pokemon V,No,175/189,$19.64 ,—,$21.60 ,0,0,0,0,0,0,0,0,0,0.001233333,0
Hisuian Samurott V (Full Art),Full-Art Pokemon V,No,176/189,$1.90 ,—,$2.09 ,0,0,0,0,0,0,0,0,0,0.00142,0
Origin Forme Dialga V (Alternate Full Art),Alt-Art Pokemon V,No,177/189,$26.97 ,—,$29.67 ,0,0,0,0,0,0,0,0,0,0.001233333,0
Garchomp V (Full Art),Full-Art Pokemon V,No,178/189,$3.95 ,—,$4.35 ,0,0,0,0,0,0,0,0,0,0.00142,0
Oranguru V (Full Art),Full-Art Pokemon V,No,179/189,$1.36 ,—,$1.50 ,0,0,0,0,0,0,0,0,0,0.00142,0
Wyrdeer V (Full Art),Full-Art Pokemon V,No,180/189,$2.34 ,—,$2.57 ,0,0,0,0,0,0,0,0,0,0.00142,0
Adaman (Full Art),Full-Art Trainer,No,181/189,$3.55 ,—,$3.91 ,0,0,0,0,0,0,0,0,0,0.0012,0
Choy (Full Art),Full-Art Trainer,No,182/189,$1.32 ,—,$1.45 ,0,0,0,0,0,0,0,0,0,0.0012,0
Cyllene (Full Art),Full-Art Trainer,No,183/189,$2.42 ,—,$2.66 ,0,0,0,0,0,0,0,0,0,0.0012,0
Gardenia's Vigor (Full Art),Full-Art Trainer,No,184/189,$10.27 ,—,$11.30 ,0,0,0,0,0,0,0,0,0,0.0012,0
Grant (Full Art),Full-Art Trainer,No,185/189,$1.45 ,—,$1.60 ,0,0,0,0,0,0,0,0,0,0.0012,0
Irida (Full Art),Full-Art Trainer,No,186/189,$26.64 ,—,$29.30 ,0,0,0,0,0,0,0,0,0,0.0012,0
Kamado (Full Art),Full-Art Trainer,No,187/189,$1.43 ,—,$1.57 ,0,0,0,0,0,0,0,0,0,0.0012,0
Roxanne (Full Art),Full-Art Trainer,No,188/189,$8.27 ,—,$9.10 ,0,0,0,0,0,0,0,0,0,0.0012,0
Zisu (Full Art),Full-Art Trainer,No,189/189,$1.50 ,—,$1.65 ,0,0,0,0,0,0,0,0,0,0.0012,0
Hisuian Lilligant VSTAR (Secret),Rainbow Rare,No,190/189,$5.24 ,—,$5.76 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Heatran VMAX (Secret),Rainbow Rare,No,191/189,$6.25 ,—,$6.88 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Origin Forme Palkia VSTAR (Secret),Rainbow Rare,No,192/189,$7.31 ,—,$8.04 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Hisuian Typhlosion VSTAR (Secret),Rainbow Rare,No,193/189,$6.35 ,—,$6.99 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Machamp VMAX (Secret),Rainbow Rare,No,194/189,$9.64 ,—,$10.60 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Hisuian Decidueye VSTAR (Secret),Rainbow Rare,No,195/189,$4.50 ,—,$4.95 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Kleavor VSTAR (Secret),Rainbow Rare,No,196/189,$5.99 ,—,$6.59 ,0,0,0,0,0,0,0,0,0,0.000711111,0
