Card_Name,Rarity,RH?,Number,Market Price,Listed Median,Adjusted Price,Slot 1 (Common),Slot 2 (Common),Slot 3 (Common),Slot 4 (Common),Slot 5 (Common),Slot 6 (Uncommon),Slot 7 (Uncommon),Slot 8 (Uncommon),Slot 9 (Radiant/TG/RH),Slot 10 (Rare+),Slot 11 (Code)
Politoed,Rare,No,032/196,$0.13 ,$0.14 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Seel,Common,No,033/196,$0.04 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Dewgong,Rare,No,034/196,$0.09 ,$0.12 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Horsea,Common,No,035/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Seadra,Uncommon,No,036/196,$0.04 ,$0.07 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Kingdra,Rare,No,037/196,$0.18 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Luvdisc,Common,No,038/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Shellos,Common,No,039/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Finneon,Common,No,040/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Lumineon,Uncommon,No,041/196,$0.04 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Snover,Common,No,042/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Abomasnow,Uncommon,No,043/196,$0.03 ,$0.05 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Hisuian Basculin,Common,No,044/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Hisuian Basculegion,Rare,No,045/196,$0.25 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Ducklett,Common,No,046/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Swanna,Uncommon,No,047/196,$0.04 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Kyurem V,Normal Pokemon V,No,048/196,$0.66 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.009625,0
Kyurem VMAX,Pokemon VMAX or VSTAR,No,049/196,$1.72 ,—,$1.89 ,0,0,0,0,0,0,0,0,0,0.005314286,0
Cramorant,Rare,No,050/196,$0.25 ,$0.34 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Glastrier,Rare,No,051/196,$0.17 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Pikachu,Common,No,052/196,$0.08 ,$0.10 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Raichu,Rare,No,053/196,$0.12 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Electrike,Common,No,054/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Manectric,Rare,No,055/196,$0.09 ,$0.11 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Magnezone V,Normal Pokemon V,No,056/196,$0.68 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.009625,0
Magnezone VSTAR,Pokemon VMAX or VSTAR,No,057/196,$1.17 ,—,$1.29 ,0,0,0,0,0,0,0,0,0,0.005314286,0
Rotom V,Normal Pokemon V,No,058/196,$0.79 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.009625,0
Tynamo,Common,No,059/196,$0.04 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Eelektrik,Uncommon,No,060/196,$0.02 ,$0.05 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Eelektross,Rare,No,061/196,$0.10 ,$0.11 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Clefairy,Common,No,062/196,$0.03 ,$0.06 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Clefable,Rare,No,063/196,$0.07 ,$0.14 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Gastly,Common,No,064/196,$0.06 ,$0.07 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Haunter,Uncommon,No,065/196,$0.05 ,$0.09 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Gengar,Rare,No,066/196,$0.55 ,—,$0.75 ,0,0,0,0,0,0,0,0,0,0.015796,0
Mr. Mime,Rare,No,067/196,$0.08 ,$0.11 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Jynx,Common,No,068/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Radiant Gardevoir,Radiant Rare,No,069/196,$0.51 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.0167,0,0
Sableye,Rare,No,070/196,$2.79 ,—,$3.07 ,0,0,0,0,0,0,0,0,0,0.015796,0
Mawile,Common,No,071/196,$0.07 ,$0.08 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Shuppet,Common,No,072/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Banette,Rare,No,073/196,$0.10 ,$0.14 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Cresselia,Rare,No,074/196,$2.65 ,—,$2.92 ,0,0,0,0,0,0,0,0,0,0.015796,0
Hisuian Zorua,Common,No,075/196,$0.06 ,$0.06 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Hisuian Zoroark,Rare,No,076/196,$0.30 ,—,$0.50 ,0,0,0,0,0,0,0,0,0,0.015796,0
Inkay (077),Common,No,077/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Malamar,Rare,No,078/196,$0.09 ,$0.11 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Comfey,Rare,No,079/196,$0.55 ,$0.69 ,$0.75 ,0,0,0,0,0,0,0,0,0,0.015796,0
Mimikyu,Rare,No,080/196,$0.09 ,$0.13 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Spectrier,Rare,No,081/196,$0.30 ,—,$0.50 ,0,0,0,0,0,0,0,0,0,0.015796,0
Enamorus V,Normal Pokemon V,No,082/196,$0.50 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.009625,0
Hisuian Growlithe,Common,No,083/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Hisuian Arcanine,Rare,No,084/196,$0.26 ,—,$0.50 ,0,0,0,0,0,0,0,0,0,0.015796,0
Poliwrath,Rare,No,085/196,$0.10 ,$0.13 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Machop,Common,No,086/196,$0.03 ,$0.06 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Machoke,Uncommon,No,087/196,$0.05 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Machamp,Rare,No,088/196,$0.29 ,—,$0.50 ,0,0,0,0,0,0,0,0,0,0.015796,0
Rhyhorn,Common,No,089/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Rhydon,Uncommon,No,090/196,$0.05 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Rhyperior,Rare,No,091/196,$0.12 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Aerodactyl V,Normal Pokemon V,No,092/196,$0.70 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.009625,0
Aerodactyl VSTAR,Pokemon VMAX or VSTAR,No,093/196,$0.91 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.005314286,0
Sudowoodo,Common,No,094/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Gligar,Common,No,095/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Gliscor,Rare,No,096/196,$0.09 ,$0.11 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Makuhita,Common,No,097/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Hariyama,Uncommon,No,098/196,$0.03 ,$0.05 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Meditite,Common,No,099/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Medicham,Uncommon,No,100/196,$0.05 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Relicanth,Uncommon,No,101/196,$0.03 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Gastrodon,Uncommon,No,102/196,$0.04 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Mienfoo,Common,No,103/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Mienshao,Uncommon,No,104/196,$0.03 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Landorus,Rare,No,105/196,$0.09 ,$0.12 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Binacle,Common,No,106/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Barbaracle,Rare,No,107/196,$0.17 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Carbink,Uncommon,No,108/196,$0.04 ,$0.05 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Rockruff,Common,No,109/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Falinks,Common,No,110/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Stonjourner,Rare,No,111/196,$0.07 ,$0.12 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Spinarak,Common,No,112/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Ariados,Rare,No,113/196,$0.10 ,$0.12 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Murkrow,Common,No,114/196,$0.04 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Honchkrow,Rare,No,115/196,$0.07 ,$0.11 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Seviper,Uncommon,No,116/196,$0.05 ,$0.07 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Spiritomb,Rare,No,117/196,$0.11 ,$0.12 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Drapion V,Normal Pokemon V,No,118/196,$1.30 ,—,$1.43 ,0,0,0,0,0,0,0,0,0,0.009625,0
Drapion VSTAR,Pokemon VMAX or VSTAR,No,119/196,$0.56 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.005314286,0
Darkrai,Rare,No,120/196,$0.20 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Inkay (121),Common,No,121/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Hoopa,Rare,No,122/196,$0.10 ,$0.12 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Radiant Hisuian Sneasler,Radiant Rare,No,123/196,$0.41 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.0167,0,0
Radiant Steelix,Radiant Rare,No,124/196,$0.45 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.0167,0,0
Bronzor,Common,No,125/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Bronzong,Uncommon,No,126/196,$0.02 ,$0.05 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Galarian Stunfisk,Uncommon,No,127/196,$0.05 ,$0.07 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Magearna,Rare,No,128/196,$0.05 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Galarian Perrserker V,Normal Pokemon V,No,129/196,$0.50 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.009625,0
Giratina V,Normal Pokemon V,No,130/196,$2.43 ,—,$2.67 ,0,0,0,0,0,0,0,0,0,0.009625,0
Giratina VSTAR,Pokemon VMAX or VSTAR,No,131/196,$15.95 ,—,$17.55 ,0,0,0,0,0,0,0,0,0,0.005314286,0
Goomy,Common,No,132/196,$0.03 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Hisuian Sliggoo,Uncommon,No,133/196,$0.05 ,$0.08 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Hisuian Goodra,Rare,No,134/196,$0.18 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Hisuian Goodra V,Normal Pokemon V,No,135/196,$0.62 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.009625,0
Hisuian Goodra VSTAR,Pokemon VMAX or VSTAR,No,136/196,$1.40 ,—,$1.54 ,0,0,0,0,0,0,0,0,0,0.005314286,0
Pidgeot V,Normal Pokemon V,No,137/196,$0.71 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.009625,0
Lickitung,Common,No,138/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Lickilicky,Uncommon,No,139/196,$0.04 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Porygon,Common,No,140/196,$0.03 ,$0.06 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Porygon2,Uncommon,No,141/196,$0.05 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Porygon-Z,Rare,No,142/196,$0.10 ,$0.11 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Snorlax,Rare,No,143/196,$0.73 ,—,$0.75 ,0,0,0,0,0,0,0,0,0,0.015796,0
Aipom,Common,No,144/196,$0.06 ,$0.06 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Ambipom,Uncommon,No,145/196,$0.03 ,$0.05 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Hisuian Zoroark V,Normal Pokemon V,No,146/196,$0.77 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.009625,0
Hisuian Zoroark VSTAR,Pokemon VMAX or VSTAR,No,147/196,$1.10 ,—,$1.21 ,0,0,0,0,0,0,0,0,0,0.005314286,0
Bouffalant,Rare,No,148/196,$0.10 ,$0.12 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Komala,Uncommon,No,149/196,$0.04 ,$0.06 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Skwovet,Common,No,150/196,$0.02 ,$0.05 ,$0.10 ,0.020408163,0.020408163,0.020408163,0.020408163,0.020408163,0,0,0,0,0,0
Greedent,Rare,No,151/196,$0.09 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Arc Phone,Uncommon,No,152/196,$0.04 ,$0.10 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Arezu,Uncommon,No,153/196,$0.07 ,$0.10 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Box of Disaster,Uncommon,No,154/196,$0.06 ,$0.10 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Colress's Experiment,Uncommon,No,155/196,$0.26 ,$0.25 ,$0.50 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Damage Pump,Uncommon,No,156/196,$0.10 ,$0.10 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Fantina,Uncommon,No,157/196,$0.04 ,$0.08 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Iscan,Uncommon,No,158/196,$0.02 ,$0.07 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Lady,Uncommon,No,159/196,$0.13 ,$0.15 ,$0.25 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Lake Acuity,Uncommon,No,160/196,$0.08 ,$0.10 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Lost City,Uncommon,No,161/196,$0.19 ,$0.25 ,$0.25 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Lost Vacuum,Uncommon,No,162/196,$0.07 ,$0.13 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Mirage Gate,Uncommon,No,163/196,$0.19 ,$0.25 ,$0.25 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Miss Fortune Sisters,Uncommon,No,164/196,$0.07 ,$0.10 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Panic Mask,Uncommon,No,165/196,$0.06 ,$0.10 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Riley,Uncommon,No,166/196,$0.02 ,$0.08 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Thorton,Uncommon,No,167/196,$0.07 ,$0.10 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Tool Box,Uncommon,No,168/196,$0.04 ,$0.10 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Volo,Rare,No,169/196,$0.21 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.015796,0
Windup Arm,Uncommon,No,170/196,$0.04 ,$0.08 ,$0.10 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Gift Energy,Uncommon,No,171/196,$0.16 ,$0.18 ,$0.25 ,0,0,0,0,0,0.02,0.02,0.02,0,0,0
Hisuian Electrode V (Full Art),Full-Art Pokemon V,No,172/196,$1.19 ,—,$1.31 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Delphox V (Full Art),Full-Art Pokemon V,No,173/196,$2.70 ,—,$2.97 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Kyurem V (Full Art),Full-Art Pokemon V,No,174/196,$2.42 ,—,$2.66 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Magnezone V (Full Art),Full-Art Pokemon V,No,175/196,$2.05 ,—,$2.26 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Rotom V (Full Art),Full-Art Pokemon V,No,176/196,$2.09 ,—,$2.30 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Rotom V (Alternate Full Art),Alt-Art Pokemon V,No,177/196,$33.02 ,—,$36.32 ,0,0,0,0,0,0,0,0,0,0.0015,0
Enamorus V (Full Art),Full-Art Pokemon V,No,178/196,$1.66 ,—,$1.83 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Aerodactyl V (Full Art),Full-Art Pokemon V,No,179/196,$2.39 ,—,$2.63 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Aerodactyl V (Alternate Full Art),Alt-Art Pokemon V,No,180/196,$103.98 ,—,$114.38 ,0,0,0,0,0,0,0,0,0,0.0015,0
Gallade V (Full Art),Full-Art Pokemon V,No,181/196,$1.25 ,—,$1.38 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Drapion V (Full Art),Full-Art Pokemon V,No,182/196,$2.23 ,—,$2.45 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Galarian Perrserker V (Full Art),Full-Art Pokemon V,No,183/196,$1.18 ,—,$1.30 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Galarian Perrserker V (Alternate Full Art),Alt-Art Pokemon V,No,184/196,$24.03 ,—,$26.43 ,0,0,0,0,0,0,0,0,0,0.0015,0
Giratina V (Full Art),Full-Art Pokemon V,No,185/196,$9.53 ,—,$10.48 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Giratina V (Alternate Full Art),Alt-Art Pokemon V,No,186/196,$280.95 ,—,$309.05 ,0,0,0,0,0,0,0,0,0,0.0015,0
Hisuian Goodra V (Full Art),Full-Art Pokemon V,No,187/196,$2.30 ,—,$2.53 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Pidgeot V (Full Art),Full-Art Pokemon V,No,188/196,$1.91 ,—,$2.10 ,0,0,0,0,0,0,0,0,0,0.001615385,0
Arezu (Full Art),Full-Art Trainer,No,189/196,$6.85 ,—,$7.54 ,0,0,0,0,0,0,0,0,0,0.0012625,0
Colress's Experiment (Full Art),Full-Art Trainer,No,190/196,$9.02 ,—,$9.92 ,0,0,0,0,0,0,0,0,0,0.0012625,0
Fantina (Full Art),Full-Art Trainer,No,191/196,$3.13 ,—,$3.44 ,0,0,0,0,0,0,0,0,0,0.0012625,0
Iscan (Full Art),Full-Art Trainer,No,192/196,$1.19 ,—,$1.31 ,0,0,0,0,0,0,0,0,0,0.0012625,0
Lady (Full Art),Full-Art Trainer,No,193/196,$6.68 ,—,$7.35 ,0,0,0,0,0,0,0,0,0,0.0012625,0
Miss Fortune Sisters (Full Art),Full-Art Trainer,No,194/196,$4.03 ,—,$4.43 ,0,0,0,0,0,0,0,0,0,0.0012625,0
Thorton (Full Art),Full-Art Trainer,No,195/196,$2.68 ,—,$2.95 ,0,0,0,0,0,0,0,0,0,0.0012625,0
Volo (Full Art),Full-Art Trainer,No,196/196,$2.86 ,—,$3.15 ,0,0,0,0,0,0,0,0,0,0.0012625,0
Kyurem VMAX (Secret),Rainbow Rare,No,197/196,$6.92 ,—,$7.61 ,0,0,0,0,0,0,0,0,0,0.000853333,0
Magnezone VSTAR (Secret),Rainbow Rare,No,198/196,$5.12 ,—,$5.63 ,0,0,0,0,0,0,0,0,0,0.000853333,0
